exp_id,seed,p,n_regimes,total_samples,n_true_cps,n_detected_cps,det_f1,det_precision,det_recall,det_tp,det_fp,det_fn,n_structures,mean_shd,mean_norm_shd,mean_struct_f1,mean_struct_precision,mean_struct_recall,consensus_shd,consensus_norm_shd,consensus_f1,consensus_precision,consensus_recall,status,error_msg
0,1777505601,3,5,3476,4,3,0.2857,0.3333,0.25,1,2,3,4,2.0,0.333,0.5,0.5,0.5,2,0.333,0.5,0.5,0.5,ok,
1,1777505602,3,5,3403,4,2,0.6667,1.0,0.5,2,0,2,3,1.0,0.167,0.333,0.333,0.333,3,0.5,0.0,0.0,0.0,ok,
2,1777505603,3,5,3557,4,3,0.8571,1.0,0.75,3,0,1,4,0.25,0.042,0.917,0.875,1.0,1,0.167,0.667,0.5,1.0,ok,
3,1777505604,3,5,3483,4,2,0.6667,1.0,0.5,2,0,2,3,1.333,0.222,0.667,0.667,0.667,2,0.333,0.5,0.5,0.5,ok,
4,1777505605,3,5,3407,4,4,0.25,0.25,0.25,1,3,3,5,1.6,0.266,0.6,0.6,0.6,1,0.167,0.8,0.667,1.0,ok,
5,1777505606,3,5,3553,4,2,0.3333,0.5,0.25,1,1,3,3,1.0,0.167,0.8,0.889,0.778,0,0.0,1.0,1.0,1.0,ok,
6,1777505607,3,5,3569,4,3,0.8571,1.0,0.75,3,0,1,4,1.5,0.25,0.625,0.625,0.625,2,0.333,0.5,0.5,0.5,ok,
7,1777505608,3,5,3483,4,4,0.75,0.75,0.75,3,1,1,5,1.8,0.3,0.2,0.2,0.2,4,0.667,0.0,0.0,0.0,ok,
8,1777505609,3,5,3507,4,1,0.0,0.0,0.0,0,1,4,2,0.5,0.084,0.5,0.5,0.5,5,0.833,0.286,0.167,1.0,ok,
9,1777505610,3,5,3494,4,3,0.5714,0.6667,0.5,2,1,2,4,2.5,0.417,0.375,0.375,0.375,3,0.5,0.4,0.333,0.5,ok,
10,1777505611,4,5,3688,4,3,0.5714,0.6667,0.5,2,1,2,4,3.75,0.312,0.283,0.229,0.375,8,0.667,0.0,0.0,0.0,ok,
11,1777505612,4,5,3627,4,3,0.5714,0.6667,0.5,2,1,2,4,0.0,0.0,1.0,1.0,1.0,0,0.0,1.0,1.0,1.0,ok,
12,1777505613,4,5,3534,4,0,0.0,1.0,0.0,0,0,4,1,3.0,0.25,0.0,0.0,0.0,10,0.833,0.286,0.167,1.0,ok,
13,1777505614,4,5,3577,4,0,0.0,1.0,0.0,0,0,4,1,2.0,0.167,0.5,0.5,0.5,10,0.833,0.286,0.167,1.0,ok,
14,1777505615,4,5,3437,4,1,0.4,1.0,0.25,1,0,3,2,1.0,0.084,0.875,0.875,0.875,8,0.667,0.5,0.333,1.0,ok,
15,1777505616,4,5,3387,4,2,0.6667,1.0,0.5,2,0,2,3,2.333,0.194,0.467,0.444,0.5,7,0.583,0.364,0.286,0.5,ok,
16,1777505617,4,5,3358,4,1,0.0,0.0,0.0,0,1,4,2,3.0,0.25,0.5,0.5,0.5,9,0.75,0.4,0.25,1.0,ok,
17,1777505618,4,5,3362,4,5,0.8889,0.8,1.0,4,1,0,6,3.0,0.25,0.484,0.472,0.5,6,0.5,0.25,0.2,0.333,ok,
18,1777505619,4,5,3438,4,0,0.0,1.0,0.0,0,0,4,1,2.0,0.167,0.75,0.75,0.75,8,0.667,0.5,0.333,1.0,ok,
19,1777505620,4,5,3459,4,2,0.0,0.0,0.0,0,2,4,3,2.667,0.222,0.546,0.467,0.722,3,0.25,0.667,0.5,1.0,ok,
20,1777505621,5,5,3645,4,2,0.6667,1.0,0.5,2,0,2,3,5.0,0.25,0.444,0.522,0.411,6,0.3,0.5,0.5,0.5,ok,
21,1777505622,5,5,3514,4,1,0.0,0.0,0.0,0,1,4,2,6.0,0.3,0.384,0.334,0.466,14,0.7,0.462,0.3,1.0,ok,
22,1777505623,5,5,3563,4,3,0.5714,0.6667,0.5,2,1,2,4,4.0,0.2,0.25,0.25,0.25,9,0.45,0.0,0.0,0.0,ok,
23,1777505624,5,5,3520,4,3,0.5714,0.6667,0.5,2,1,2,4,4.25,0.212,0.549,0.588,0.53,7,0.35,0.533,0.5,0.571,ok,
24,1777505625,5,5,3325,4,2,0.3333,0.5,0.25,1,1,3,3,3.333,0.167,0.617,0.667,0.583,5,0.25,0.545,0.6,0.5,ok,
25,1777505626,5,5,3321,4,2,0.3333,0.5,0.25,1,1,3,3,4.0,0.2,0.217,0.25,0.194,6,0.3,0.4,0.333,0.5,ok,
26,1777505627,5,5,3493,4,1,0.4,1.0,0.25,1,0,3,2,4.0,0.2,0.477,0.5,0.466,15,0.75,0.4,0.25,1.0,ok,
27,1777505628,5,5,3388,4,3,0.8571,1.0,0.75,3,0,1,4,5.25,0.262,0.379,0.375,0.383,10,0.5,0.286,0.25,0.333,ok,
28,1777505629,5,5,3589,4,3,0.8571,1.0,0.75,3,0,1,4,3.75,0.188,0.446,0.479,0.458,9,0.45,0.182,0.125,0.333,ok,
29,1777505630,5,5,3580,4,3,0.8571,1.0,0.75,3,0,1,4,5.0,0.25,0.416,0.388,0.467,9,0.45,0.4,0.3,0.6,ok,
30,1777505631,6,5,3226,4,2,0.3333,0.5,0.25,1,1,3,3,7.0,0.233,0.399,0.411,0.389,8,0.267,0.556,0.417,0.833,ok,
31,1777505632,6,5,3251,4,2,0.6667,1.0,0.5,2,0,2,3,9.0,0.3,0.433,0.37,0.525,12,0.4,0.571,0.421,0.889,ok,
32,1777505633,6,5,3758,4,2,0.6667,1.0,0.5,2,0,2,3,3.667,0.122,0.493,0.483,0.528,10,0.333,0.167,0.143,0.2,ok,
33,1777505634,6,5,3576,4,2,0.6667,1.0,0.5,2,0,2,3,9.0,0.3,0.222,0.2,0.27,11,0.367,0.353,0.333,0.375,ok,
34,1777505635,6,5,3511,4,3,0.5714,0.6667,0.5,2,1,2,4,6.0,0.2,0.543,0.572,0.533,7,0.233,0.667,0.636,0.7,ok,
35,1777505636,6,5,3392,4,1,0.4,1.0,0.25,1,0,3,2,6.5,0.217,0.428,0.343,0.643,23,0.767,0.378,0.233,1.0,ok,
36,1777505637,6,5,3459,4,1,0.4,1.0,0.25,1,0,3,2,5.5,0.184,0.347,0.367,0.35,25,0.833,0.286,0.167,1.0,ok,
37,1777505638,6,5,3439,4,2,0.6667,1.0,0.5,2,0,2,3,7.0,0.233,0.403,0.443,0.456,10,0.333,0.444,0.364,0.571,ok,
38,1777505639,6,5,3610,4,1,0.4,1.0,0.25,1,0,3,2,5.5,0.183,0.521,0.464,0.666,21,0.7,0.462,0.3,1.0,ok,
39,1777505640,6,5,3628,4,2,0.0,0.0,0.0,0,2,4,3,10.0,0.333,0.133,0.095,0.222,13,0.433,0.235,0.222,0.25,ok,
40,1777505641,7,5,3594,4,4,1.0,1.0,1.0,4,0,0,5,15.2,0.362,0.06,0.058,0.062,19,0.452,0.24,0.231,0.25,ok,
41,1777505642,7,5,3616,4,4,1.0,1.0,1.0,4,0,0,5,10.4,0.248,0.273,0.279,0.276,19,0.452,0.345,0.25,0.556,ok,
42,1777505643,7,5,3616,4,3,0.5714,0.6667,0.5,2,1,2,4,9.0,0.214,0.45,0.517,0.472,17,0.405,0.485,0.333,0.889,ok,
43,1777505644,7,5,3448,4,1,0.4,1.0,0.25,1,0,3,2,15.0,0.358,0.166,0.166,0.166,31,0.738,0.415,0.262,1.0,ok,
44,1777505645,7,5,3561,4,1,0.4,1.0,0.25,1,0,3,2,6.5,0.155,0.572,0.442,0.812,32,0.762,0.385,0.238,1.0,ok,
45,1777505646,7,5,3250,4,2,0.3333,0.5,0.25,1,1,3,3,9.667,0.23,0.391,0.403,0.4,13,0.31,0.48,0.4,0.6,ok,
46,1777505647,7,5,3465,4,2,0.3333,0.5,0.25,1,1,3,3,12.333,0.294,0.365,0.424,0.337,24,0.571,0.25,0.2,0.333,ok,
47,1777505648,7,5,3479,4,4,1.0,1.0,1.0,4,0,0,5,7.8,0.186,0.435,0.428,0.449,14,0.333,0.364,0.308,0.444,ok,
48,1777505649,7,5,3469,4,2,0.3333,0.5,0.25,1,1,3,3,12.667,0.302,0.397,0.475,0.346,25,0.595,0.194,0.176,0.214,ok,
49,1777505650,7,5,3483,4,2,0.3333,0.5,0.25,1,1,3,3,12.667,0.302,0.34,0.321,0.372,19,0.452,0.457,0.333,0.727,ok,
